Kode  Kemendagri;Kecamatan;Jumlah  Kelurahan;Daftar  Kelurahan
32.73.05;Andir;6;Campaka Ciroyom Dunguscariang Garuda Kebonjeruk Maleber
32.73.10;Astana Anyar;6;Cibadak Karanganyar Karasak Nyengseret Panjunan Pelindunghewan
32.73.20;Antapani;4;Antapani Kidul Antapani Kulon Antapani Tengah Antapani Wetan
32.73.24;Arcamanik;4;Cisaranten Bina Harapan Cisaranten Endah Cisaranten Kulon Sukamiskin
32.73.03;Babakan Ciparay;6;Babakan Babakanciparay Cirangrang Margahayu Utara Margasuka Sukahaji
32.73.21;Bandung Kidul;4;Batununggal Kujangsari Mengger Wates
32.73.15;Bandung Kulon;8;Caringin Cibuntu Cigondewah Kaler Cigondewah Kidul Cigondewah Rahayu Cijerah Gempolsari Warungmuncang
32.73.09;Bandung Wetan;3;Cihapit Citarum Tamansari
32.73.12;Batununggal;8;Binong Cibangkong Gumuruh Kacapiring Kebongedang Kebonwaru Maleer Samoja
32.73.04;Bojongloa Kaler;5;Babakan Asih Babakan Tarogong Jamika Kopo Suka Asih
32.73.17;Bojongloa Kidul;6;Cibaduyut Cibaduyut Kidul Cibaduyut Wetan Kebon Lega Mekarwangi Situsaeur
32.73.22;Buahbatu;4;Cijawura Jatisari Margasari Sekejati
32.73.18;Cibeunying Kaler;4;Cigadung Cihaurgeulis Neglasari Sukaluyu
32.73.14;Cibeunying Kidul;6;Cicadas Cikutra Padasuka Pasirlayung Sukamaju Sukapada
32.73.25;Cibiru;4;Cipadung Cisurupan Palasari Pasirbiru
32.73.06;Cicendo;6;Arjuna Husen Sastranegara Pajajaran Pamoyanan Pasirkaliki Sukaraja
32.73.08;Cidadap;3;Ciumbuleuit Hegarmanah Ledeng
32.73.29;Cinambo;4;Babakan Penghulu Cisaranten Wetan Pakemitan Sukamulya
32.73.02;Coblong;6;Cipaganti Dago Lebakgede Lebaksiliwangi Sadangserang Sekeloa
32.73.27;Gedebage;4;Cimincrang Cisaranten Kidul Rancabolang Rancanumpang
32.73.16;Kiaracondong;6;Babakansari Babakansurabaya Cicaheum Kebonkangkung Kebunjayanti Sukapura
32.73.13;Lengkong;7;Burangrang Cijagra Cikawao Lingkar Selatan Malabar Paledang Turangga
32.73.30;Mandalajati;4;Jatihandap Karangpamulang Pasir Impun Sindangjaya
32.73.28;Panyileukan;4;Cipadung Kidul Cipadung Kulon Cipadung Wetan Mekarmulya
32.73.23;Rancasari;4;Cipamokolan Darwati Manjahlega Mekar Jaya
32.73.11;Regol;7;Ancol Balonggede Ciateul Cigereleng Ciseureuh Pasirluyu Pungkur
32.73.07;Sukajadi;5;Cipedes Pasteur Sukabungah Sukagalih Sukawarna
32.73.01;Sukasari;4;Gegerkalong Isola Sarijadi Sukarasa
32.73.19;Sumur Bandung;4;Babakanciamis Braga Kebonpisang Merdeka
32.73.26;Ujungberung;5;Cigending Pasanggrahan Pasirendah Pasirjati Pasirwangi
